datetime,data
6/8/21 12:57 PM,15
6/8/21 1:14 PM,9
6/8/21 1:30 PM,8
6/8/21 1:46 PM,18
6/8/21 2:03 PM,24
6/8/21 2:19 PM,23
6/8/21 2:35 PM,17
6/8/21 2:52 PM,24
6/8/21 3:08 PM,17
6/8/21 3:24 PM,25
6/8/21 3:41 PM,22
6/8/21 3:57 PM,22
6/8/21 4:13 PM,21
6/8/21 4:30 PM,18
6/8/21 4:46 PM,21
6/8/21 5:02 PM,14
6/8/21 5:19 PM,23
6/8/21 5:35 PM,20
6/8/21 5:51 PM,24
6/8/21 6:07 PM,16
6/8/21 6:28 PM,36
6/8/21 6:44 PM,21
6/8/21 7:00 PM,29
6/8/21 7:17 PM,25
6/8/21 7:33 PM,30
6/8/21 7:49 PM,22
6/8/21 8:06 PM,27
6/8/21 8:22 PM,33
6/8/21 8:38 PM,26
6/8/21 8:55 PM,22
6/8/21 9:11 PM,26
6/8/21 9:27 PM,22
6/8/21 9:44 PM,14
6/8/21 10:00 PM,14
6/8/21 10:16 PM,10
6/8/21 10:33 PM,16
6/8/21 10:49 PM,17
6/8/21 11:26 PM,32
6/8/21 11:43 PM,10
6/8/21 11:59 PM,8
6/9/21 12:15 AM,12
6/9/21 12:32 AM,9
6/9/21 12:48 AM,9
6/9/21 1:04 AM,8
6/9/21 1:21 AM,10
6/9/21 1:37 AM,13
6/9/21 1:53 AM,8
6/9/21 2:09 AM,8
6/9/21 2:26 AM,9
6/9/21 2:42 AM,8
6/9/21 2:58 AM,11
6/9/21 3:36 AM,16
6/9/21 3:52 AM,10
6/9/21 4:08 AM,13
6/9/21 4:25 AM,11
6/9/21 4:41 AM,12
6/9/21 4:57 AM,6
6/9/21 5:14 AM,13
6/9/21 5:30 AM,10
6/9/21 5:46 AM,10
6/9/21 6:04 AM,9
6/9/21 6:20 AM,8
6/9/21 6:37 AM,9
6/9/21 6:53 AM,11
6/9/21 7:10 AM,11
6/9/21 7:26 AM,15
6/9/21 7:42 AM,12
6/9/21 7:59 AM,9
6/9/21 8:15 AM,11
6/9/21 8:31 AM,9
6/9/21 8:48 AM,12
6/9/21 9:04 AM,9
6/9/21 9:20 AM,9
6/9/21 9:37 AM,12
6/9/21 9:53 AM,12
6/9/21 10:10 AM,9
6/9/21 11:29 AM,37
6/9/21 11:45 AM,17
6/9/21 12:02 PM,12
6/9/21 12:18 PM,15
6/9/21 12:34 PM,18
6/9/21 12:51 PM,15
6/9/21 1:07 PM,16
6/9/21 1:23 PM,17
6/9/21 1:40 PM,13
6/9/21 1:56 PM,14
6/9/21 2:12 PM,19
6/9/21 2:29 PM,29
6/9/21 2:45 PM,27
6/9/21 3:01 PM,20
6/9/21 3:18 PM,18
6/9/21 3:34 PM,28
6/9/21 3:50 PM,25
6/9/21 4:07 PM,17
6/9/21 4:23 PM,17
6/9/21 4:39 PM,19
6/9/21 4:56 PM,21
6/9/21 5:12 PM,13
6/9/21 5:28 PM,20
6/9/21 5:45 PM,22
6/9/21 6:01 PM,23
6/9/21 6:17 PM,20
6/9/21 6:34 PM,26
6/9/21 6:50 PM,11
6/9/21 7:06 PM,18
6/9/21 7:23 PM,21
6/9/21 7:39 PM,19
6/9/21 7:55 PM,12
6/9/21 8:12 PM,19
6/9/21 8:28 PM,12
6/9/21 8:44 PM,12
6/9/21 9:00 PM,10
6/9/21 9:17 PM,9
6/9/21 9:33 PM,11
6/9/21 9:49 PM,11
