,B_Ext,B_Time,B_Humid,TFTime,TFValue,TDiff
206,,,,2021-06-03 10:24:00,2622,
207,,,,2021-06-03 10:41:00,2637,
208,,,,2021-06-03 10:57:00,2635,
209,,,,2021-06-03 11:13:00,2635,
210,,,,2021-06-03 11:30:00,2636,
211,,,,2021-06-03 11:46:00,2635,
212,,,,2021-06-03 12:02:00,2793,
213,,,,2021-06-03 12:19:00,2609,
214,,,,2021-06-03 12:35:00,2682,
215,,,,2021-06-03 12:51:00,2486,
216,,,,2021-06-03 13:08:00,2470,
217,,,,2021-06-03 13:24:00,2454,
218,,,,2021-06-03 13:40:00,2430,
219,,,,2021-06-03 13:57:00,2406,
220,,,,2021-06-03 14:13:00,2389,
221,,,,2021-06-03 14:29:00,2382,
222,,,,2021-06-03 14:46:00,2373,
223,,,,2021-06-03 15:02:00,2369,
224,,,,2021-06-03 15:18:00,2534,
225,,,,2021-06-03 15:35:00,2534,
226,,,,2021-06-03 15:51:00,2479,
227,,,,2021-06-03 16:07:00,2526,
228,,,,2021-06-03 16:24:00,2928,
229,,,,2021-06-03 16:40:00,4441,
230,,,,2021-06-03 16:56:00,4409,
231,,,,2021-06-03 17:13:00,4316,
232,,,,2021-06-03 17:29:00,4367,
233,,,,2021-06-03 18:10:00,3754,
234,,,,2021-06-03 18:27:00,4132,
235,,,,2021-06-03 18:43:00,4158,
236,,,,2021-06-03 18:59:00,4165,
237,,,,2021-06-03 19:16:00,4176,
238,,,,2021-06-03 19:32:00,4184,
239,,,,2021-06-03 19:48:00,4200,
240,,,,2021-06-03 20:05:00,4210,
241,,,,2021-06-03 20:21:00,4203,
242,,,,2021-06-03 20:37:00,4210,
243,,,,2021-06-03 20:54:00,4197,
244,,,,2021-06-03 21:10:00,4187,
245,,,,2021-06-03 21:26:00,4184,
246,,,,2021-06-03 21:43:00,4171,
247,,,,2021-06-03 21:59:00,4170,
248,,,,2021-06-03 22:36:00,3699,
249,,,,2021-06-03 22:53:00,4071,
250,,,,2021-06-03 23:09:00,4168,
